ID,Name,Age,Gender,City,Country,CreditCard,FullAddress,UserSignUpDate,UserLastPurchaseDate,UserStatus,UserTotalPurchases,UserSegment,UserLocation,UserSourceType,UserLastLoginDate,UserPurchaseFrequency,Product Name,Category,Subcategory,Price,Date_Purchase,Quantity,Rating,Comment
1416,Emma Reed,1,M,Nicholsmouth,Northern Mariana Islands,2700998157233291,"PSC 8030, Box 6345, APO AE 52411",2022-02-22,2022-12-23,Churned,6,Frequent Shopper,New Frederick,Paid Ads,2023-06-07,Yearly,SofaPlus,Furniture,Sofa,154,2022-08-31,4,4,Since they along bring through one nothing.
1333,Hannah Maddox,-1,M,South Joshuahaven,Brunei Darussalam,2283623949925336,"62329 Connie Shore, Lake Calebmouth, PW 52646",2021-12-28,2022-08-01,Churned,3,Occasional Shopper,Anthonymouth,Paid Ads,2023-03-05,Rarely,PhoneMaster,Electronics,Phone,133,2021-04-30,8,5,Executive fine key age science begin wait.
1319,Jacob Walls,150,M,Velazquezville,Congo,2296749384928744,"602 Keith Ways, Johnland, TN 90853",2021-10-10,2022-12-30,Churned,13,High Value,South Danielleton,Organic Search,2023-04-08,Yearly,EducationalTales,Books,Educational,-74,2023-05-25,3,0,Hope free Mrs explain.
1256,Sarah Livingston,4,M,South Annette,Thailand,2231430506411673,"7015 Ramsey Knolls, Christianfurt, GU 65587",2023-02-13,2023-02-16,Churned,9,Frequent Shopper,South Amanda,Organic Search,2023-05-26,Yearly,TastySnacks,Grocery,Snacks,153,2020-12-09,-3,3,Article where large office standard occur.
936,Emily Randall,49,F,Elizabethbury,Slovenia,2497229444692520,"9462 Long Creek, Ericksonfort, AR 90596",2022-02-14,2022-04-28,Churned,11,High Value,Hernandezmouth,Organic Search,2022-08-07,Rarely,The Art of Fiction,Books,Fiction,952,2023-01-28,8,0,Loss last move recently argue usually maintain serve.
673,Laura Randolph,3,M,Lake John,Falkland Islands (Malvinas),2326264416949266,"138 Burch View, Port Rebeccaville, GA 97978",2022-06-21,2023-04-26,Churned,13,High Value,West Rachel,Organic Search,2023-05-27,Yearly,TastyBeverages,Grocery,Beverages,-78,2023-07-31,-4,0,Year leg company other for she financial.
1429,Jake Williams,93,F,Elizabethberg,Saint Kitts and Nevis,2708668574278771,"17061 Hall Curve Suite 021, New Adam, GU 35211",2022-12-21,2023-03-05,Churned,15,High Value,Port Ryan,Paid Ads,2023-07-08,Yearly,ShirtFits,Clothing,Shirt,-12,2022-09-13,-1,5,Like spend day.
686,Jessica Williams,97,F,New Anthony,Liechtenstein,2372946793447053,"28430 Aaron Stream Suite 564, Stevenstad, RI 28670",2022-06-17,2022-11-21,Churned,11,High Value,Port Suzanne,Organic Search,2022-12-15,Yearly,Non-fictionGuide,Books,Non-fiction,944,2021-01-27,-1,5,Half ask few certainly.
1257,Carlos Maxwell,0,M,Austinfort,Sao Tome and Principe,2355587732740025,"092 Mccarthy Bridge Apt. 975, East Ryan, PR 24719",2021-09-13,2022-06-13,Churned,6,Frequent Shopper,Morganshire,Organic Search,2023-05-30,Rarely,ProShirt,Clothing,Shirt,-70,2022-12-09,6,1,Beat training prevent off mouth.
1419,Adam Evans,150,F,South Gilbertberg,Macao,2271515498954143,"886 Espinoza Highway Apt. 154, North Jessicaburgh, MI 85990",2022-06-14,2023-03-17,Churned,11,High Value,Kyleton,Referral,2023-03-17,Yearly,TastyBeverages,Grocery,Beverages,43,2020-09-01,-5,6,Police unit wear but out hit.
752,Hannah Ross,150,F,Murphyfurt,Denmark,2318609087145232,"374 Jeremy Crescent, Jacksonfort, WY 51617",2022-06-02,2023-07-01,Active,7,Frequent Shopper,New Kimberly,Referral,2023-08-12,Yearly,UltraLaptop,Electronics,Laptop,361,2022-06-29,10,4,Successful that true.
121,Mrs. Elizabeth Davis,94,F,East Toddtown,South Africa,2261084436805216,"PSC 9757, Box 6911, APO AE 88098",2023-04-03,2023-06-16,Active,10,Frequent Shopper,Thomasburgh,Referral,2023-08-22,Yearly,SpeakerMaster,Electronics,Speaker,-22,2021-10-13,-5,-1,Final tell else us room hit nature.
1186,Marie White,1,F,North Teresaton,Gibraltar,2240670564364061,"233 Collins Spring, Lake Donaldville, MH 01316",2023-05-31,2023-07-02,Active,3,Occasional Shopper,New Andreaville,Referral,2023-07-11,Yearly,SofaDeluxe,Furniture,Sofa,-99,2022-10-06,-3,-1,How whatever account account.
699,Christina Thomas,150,M,East Christopher,Syrian Arab Republic,2271892377514177,"582 Kim Plain Suite 078, North Brandonberg, CO 36914",2022-10-26,2023-03-31,Churned,6,Frequent Shopper,East Hollyport,Referral,2023-07-30,Yearly,FreshVegetables,Grocery,Vegetables,-21,2023-01-03,9,0,Together various common face worker strategy close.
828,Kyle Nunez,150,M,Lindseyfurt,Panama,5218350235026685,"699 David Ford Suite 804, North Kimberly, DE 08845",2021-09-02,2023-03-16,Churned,15,High Value,Mooreton,Organic Search,2023-05-23,Yearly,FreshBeverages,Grocery,Beverages,-39,2021-01-05,-5,6,Meeting happy discussion box safe.
16,Kevin Obrien,3,M,Penaside,Bosnia and Herzegovina,2293893566103974,"914 Tanya Courts, Davidton, ID 44312",2022-09-09,2023-01-15,Churned,9,Frequent Shopper,Reynoldshaven,Referral,2023-04-14,Yearly,PantsWear,Clothing,Pants,-62,2022-11-12,0,6,Who probably myself enjoy require people scene specific.
1481,Rachel Vaughn,150,F,East Carolineton,Seychelles,2710717500879230,"53343 Mendoza Flat Apt. 303, North Timothybury, IA 40588",2023-07-01,2023-08-07,Active,1,Occasional Shopper,Lake Shawnport,Paid Ads,2023-08-19,Monthly,FreshVegetables,Grocery,Vegetables,395,2021-08-01,5,5,Present nice role support career compare suffer.
778,April Duran,150,M,New Carlosberg,Mozambique,2243137770421801,"790 Lori Mill, Jonesburgh, DE 20277",2022-10-31,2022-12-20,Churned,10,Frequent Shopper,Davidsontown,Paid Ads,2023-07-26,Yearly,FreshBeverages,Grocery,Beverages,-61,2023-01-28,5,1,Administration not similar food leg feel.
839,Jerome Poole,21,M,North Sara,Comoros,5516158338782065,"13071 Tamara Pass, Saramouth, WA 02164",2023-06-07,2023-07-28,Active,15,High Value,Adamston,Paid Ads,2023-07-30,Monthly,JacketFits,Clothing,Jacket,-41,2021-07-17,-4,0,Phone important choose project.
1338,Gregg Dickson,150,M,East Donald,Paraguay,5384390674870878,"PSC 3819, Box 9212, APO AE 68059",2022-01-03,2022-01-03,Churned,12,High Value,Alexandermouth,Organic Search,2022-07-11,Rarely,ComfortSofa,Furniture,Sofa,212,2021-05-18,8,1,Soon leave example food option else respond.
1029,Larry Gibson,5,M,Laurieview,Croatia,2494011227364102,"25299 Moore Turnpike, South Jasmine, PA 30651",2022-12-12,2023-07-21,Active,9,Frequent Shopper,South Patricia,Organic Search,2023-08-05,Yearly,ShirtWear,Clothing,Shirt,213,2022-11-05,-3,1,Nothing tax truth opportunity condition evidence whom stock.
902,James Sanders,150,F,Florestown,Saint Kitts and Nevis,2704571596159595,"369 Michael Springs, Joshuafurt, ND 01482",2023-06-12,2023-06-22,Active,3,Occasional Shopper,Merrittshire,Paid Ads,2023-07-01,Yearly,ProShirt,Clothing,Shirt,-26,2022-11-05,-5,5,None cup light camera stop study indeed.
293,Sara Ayala,41,F,West Ricardochester,Belarus,2709999016283726,"USS Torres, FPO AA 36390",2023-05-19,2023-06-08,Active,8,Frequent Shopper,New Kennethside,Paid Ads,2023-08-05,Yearly,EducationalGuide,Books,Educational,-4,2021-03-13,-2,-1,Better high stock standard truth.
1493,Tyler Luna,81,F,West Shannonfurt,Luxembourg,2228171485912456,"58601 Mccormick Estates Suite 357, Joelshire, CA 31297",2023-05-20,2023-07-27,Active,8,Frequent Shopper,Carpenterfurt,Paid Ads,2023-08-20,Yearly,ProPants,Clothing,Pants,-42,2022-01-16,5,0,I management her bill improve.
39,Nancy Bell,1,F,Owensborough,Marshall Islands,2246622463695230,"51892 Diaz Pike Suite 932, South Jacob, WA 35488",2022-08-07,2022-11-05,Churned,5,Occasional Shopper,North Karen,Referral,2023-06-09,Yearly,FictionTales,Books,Fiction,-18,2021-12-13,-4,5,Report discussion message they.
106,Casey Stevenson,0,F,West Olivia,Aruba,2253965144922634,"600 Marie Cape, Ashleyville, HI 39513",2022-11-02,2023-08-23,Active,12,High Value,Port Erichaven,Paid Ads,2023-08-25,Monthly,FreshBeverages,Grocery,Beverages,662,2020-10-17,0,-1,In glass measure throw what summer.
726,Jonathan Lane,55,F,Lake Johnborough,Kyrgyz Republic,2237583307210209,"3752 Diaz Ridge Suite 453, Lake Nicole, WA 99778",2022-03-27,2022-10-26,Churned,9,Frequent Shopper,New Amy,Referral,2022-11-28,Yearly,EducationalGuide,Books,Educational,-17,2020-10-22,10,6,Bad hard concern often.
23,Kimberly Baldwin,-1,M,Cookville,Saudi Arabia,2294668428084243,"61026 Chandler Islands Apt. 725, Williamsburgh, AR 77876",2023-01-26,2023-03-07,Churned,11,High Value,New Mollyport,Paid Ads,2023-03-27,Yearly,TastyBeverages,Grocery,Beverages,166,2023-07-18,-1,3,Along officer its success data or teach.
710,Dustin Klein,150,M,Lake Valerie,Gambia,2278384393840441,"6303 Melton Junctions Apt. 967, Maryhaven, PW 53315",2022-11-18,2023-03-11,Churned,6,Frequent Shopper,Rileyville,Referral,2023-03-28,Yearly,UltraSpeaker,Electronics,Speaker,867,2022-06-06,10,0,Car air participant her project.
69,Mariah Smith,5,M,Morenobury,Germany,5166902130316579,"PSC 4797, Box 1755, APO AP 89199",2022-08-16,2023-05-25,Churned,7,Frequent Shopper,North Troy,Paid Ads,2023-06-20,Yearly,PantsWear,Clothing,Pants,-80,2022-03-06,-4,3,Various face speak.
997,Victoria Richardson,97,F,Port Carolyn,Croatia,2322857569078157,"991 Juarez Vista, Mcguirechester, NH 39869",2022-01-17,2023-01-01,Churned,4,Occasional Shopper,West Jeffreyberg,Referral,2023-05-31,Yearly,Non-fictionGuide,Books,Non-fiction,734,2021-08-27,-1,2,Here side wrong drug window.
425,Ashley Watkins,-1,F,Port Teresa,Tajikistan,2717725305805337,"8384 Katherine Common, West Henry, TN 65169",2021-12-09,2021-12-19,Churned,3,Occasional Shopper,East Joelton,Referral,2022-11-17,Rarely,ComfortTable,Furniture,Table,-31,2020-11-23,10,-1,Well southern after agreement pick buy no.
1022,Rita Smith,69,M,Michaeltown,Montenegro,2281597111630480,"429 Wright Views, Jennafort, OR 11414",2023-01-13,2023-06-11,Active,9,Frequent Shopper,Brownmouth,Paid Ads,2023-07-08,Yearly,SofaPlus,Furniture,Sofa,422,2022-05-27,-3,-1,Finish team stand every.
1317,Jeffery Johnson,-4,F,Thompsonchester,Tunisia,2720474059361735,"44877 Brandy Junctions Apt. 397, New Amandafort, UT 77935",2022-07-03,2022-07-20,Churned,13,High Value,Staceyland,Organic Search,2022-09-09,Rarely,UltraSpeaker,Electronics,Speaker,165,2020-12-08,0,4,Consumer ball political your play.
103,Brendan Wall,150,M,Porterbury,Antarctica (the territory South of 60 deg S),2275236250226200,"62296 Anna Radial Apt. 508, New Joseph, VI 38902",2021-09-30,2022-06-05,Churned,4,Occasional Shopper,Bennettfort,Paid Ads,2022-10-11,Rarely,EducationalGuide,Books,Educational,939,2022-12-07,-5,6,Available crime throughout.
555,Scott Freeman MD,150,M,New Chad,Western Sahara,2273612085572806,"2355 Smith Roads Apt. 914, Briannaton, IA 03747",2021-11-01,2023-02-09,Churned,4,Occasional Shopper,Austinmouth,Paid Ads,2023-08-25,Yearly,ChairPlus,Furniture,Chair,817,2022-12-30,4,2,Series stage save.
1058,Marie Chavez,39,M,Port Adrian,Turks and Caicos Islands,2237643264304567,"4057 Daniel Station, Port Tina, GU 67662",2023-01-23,2023-04-13,Churned,12,High Value,West Jorge,Organic Search,2023-08-10,Yearly,The Art of Non-fiction,Books,Non-fiction,-62,2021-04-21,-4,5,Part surface make could must police.
1276,Allison Meadows,3,F,Matthewview,Uganda,5428619446428013,"79582 Thornton Place, Scottshire, OH 02683",2023-03-16,2023-07-09,Active,11,High Value,East Christina,Organic Search,2023-07-19,Yearly,UltraSpeaker,Electronics,Speaker,-96,2020-10-04,8,-1,Detail month yard certain relationship that.
1301,William Robinson,150,F,East Brooke,Bhutan,5554426063189589,"1198 Diaz Locks Suite 122, Lisamouth, NY 38219",2022-01-29,2023-06-06,Active,2,Occasional Shopper,Angelamouth,Organic Search,2023-08-06,Yearly,LaptopMaster,Electronics,Laptop,-79,2022-02-24,-1,4,Population take society street step prove shoulder.
929,Jason Villa,13,M,Lake Kevinstad,Aruba,5197995003163972,"93617 Wilson Fords, Port Teresaport, MD 30456",2023-07-20,2023-07-29,Active,11,High Value,Martinezland,Paid Ads,2023-08-12,Monthly,LaptopMaster,Electronics,Laptop,544,2020-11-02,0,3,Identify reality here serious hope effort.
1404,Jonathan Cameron,25,M,Port Joseph,Thailand,5226057862753495,"550 Austin Burgs Suite 504, North Victoriachester, TX 06242",2023-07-07,2023-08-10,Active,14,High Value,North Ronald,Referral,2023-08-21,Monthly,LaptopPro,Electronics,Laptop,38,2022-05-20,10,5,Chair none receive later.
74,Bonnie Ritter,4,F,Taylorview,Syrian Arab Republic,2271897790512914,"68097 Ramirez Junction Apt. 130, South Jeremy, KY 82062",2022-11-27,2023-02-22,Churned,6,Frequent Shopper,East Kendra,Paid Ads,2023-04-04,Yearly,JacketFits,Clothing,Jacket,77,2022-02-04,1,3,Step up claim suggest turn take ten spring.
507,Oscar Bush,26,F,Reynoldsshire,Lebanon,2716911615369807,"913 Welch Lodge Apt. 729, Nancyshire, WY 09998",2022-09-23,2023-08-23,Active,1,Occasional Shopper,Tonyview,Paid Ads,2023-08-25,Monthly,EducationalGuide,Books,Educational,744,2022-08-16,6,2,Capital red executive trade official agency.
1353,Megan Johnson,-5,F,Lake Veronica,Grenada,2251267889970353,"704 Courtney Mount Apt. 943, Leefort, VT 21319",2022-02-01,2022-05-03,Churned,14,High Value,Ericberg,Paid Ads,2022-05-26,Rarely,EducationalGuide,Books,Educational,-61,2021-11-27,4,3,Different machine read.
218,Kristie Marks,-1,F,Moodyfurt,Malaysia,2249458906911299,"40320 Robert Harbor Suite 540, Cynthiaport, KS 62060",2023-03-04,2023-06-06,Active,2,Occasional Shopper,West Maryfurt,Referral,2023-06-13,Yearly,MegaPhone,Electronics,Phone,-87,2020-11-02,9,6,Possible win item many including experience design.
1323,Jennifer Mendoza,1,F,West Johnfurt,Latvia,5312522899429026,"3681 Patrick Skyway, Markburgh, NV 42169",2022-04-03,2022-07-01,Churned,11,High Value,Brittanybury,Paid Ads,2022-08-15,Rarely,SofaDeluxe,Furniture,Sofa,-46,2020-11-04,2,2,Environment issue subject trial figure.
1071,Peggy Boyd,20,M,Jessicamouth,United Kingdom,5243180386117796,"99352 Garcia Green, West Raymondchester, NC 64782",2022-09-05,2023-01-18,Churned,6,Frequent Shopper,Feliciaside,Paid Ads,2023-06-17,Yearly,LaptopMaster,Electronics,Laptop,-86,2021-12-21,0,5,Pass Mrs national billion place not time stop.
265,Jesse Bass,150,F,North Barbara,Svalbard & Jan Mayen Islands,2720259895925607,"73956 Jessica Loaf Apt. 375, Janetville, TN 52460",2022-07-29,2023-01-21,Churned,1,Occasional Shopper,North Karen,Organic Search,2023-07-26,Yearly,EducationalGuide,Books,Educational,-15,2023-06-20,-4,0,Bit four million wait family court.
924,Natalie Copeland,150,F,Gilberttown,Oman,5341381081350705,"73685 Matthew Path, West Bryanchester, ME 65829",2021-12-01,2022-07-08,Churned,2,Occasional Shopper,West Jonathanchester,Organic Search,2022-10-28,Rarely,Non-fictionTales,Books,Non-fiction,854,2022-05-03,8,-1,Measure recent note particularly and.
852,Sarah Brady,150,F,Amandamouth,Chile,2244835800111206,"05407 Jacob Prairie Suite 363, Jonesville, PA 59463",2021-12-18,2021-12-31,Churned,4,Occasional Shopper,Joshuaborough,Organic Search,2022-08-13,Rarely,JacketWear,Clothing,Jacket,-85,2021-03-07,3,5,Message food bar school.
434,Dennis Alvarez,150,F,North David,Bhutan,2720749461581735,"5004 Brandon Lane Suite 650, South Paul, AL 42501",2022-06-18,2023-01-04,Churned,4,Occasional Shopper,Davidport,Referral,2023-04-11,Yearly,EducationalTales,Books,Educational,462,2021-05-21,-4,2,Fine today heart enough draw.
110,Christine Morgan,17,F,Bobshire,Gabon,2628803604953120,"70506 Weber Falls Suite 932, West Susan, NY 45722",2022-10-14,2023-05-25,Churned,9,Frequent Shopper,Robertstad,Paid Ads,2023-07-13,Yearly,UltraLaptop,Electronics,Laptop,160,2020-11-20,-2,5,Course sometimes now difference draw it commercial.
510,Kelsey Adams,150,F,New Tammy,Belarus,5261444928876658,"61023 Nielsen Station, North Donna, UT 72209",2023-03-14,2023-04-13,Churned,7,Frequent Shopper,North Christopher,Organic Search,2023-06-30,Yearly,SnacksFits,Grocery,Snacks,306,2020-10-08,2,0,No traditional thousand.
40,David Jones,150,M,Duranland,Mismatched Country,2702789931985977,"579 Brown Burg, Kingfurt, HI 40336",2022-04-06,2023-06-12,Active,4,Occasional Shopper,Stephanieshire,Organic Search,2023-08-03,Yearly,,Books,Educational,-28,2020-10-25,-4,3,Such girl capital citizen often.
504,John Ray,69,F,New Josephshire,Argentina,2620440614174500,"922 Nicholas Views Suite 988, Lake Tiffanyport, MD 69453",2023-04-15,2023-06-24,Active,3,Occasional Shopper,Murphyview,Referral,2023-08-18,Yearly,MegaPhone,Electronics,Phone,-32,2021-01-31,10,5,Affect management entire finally head line its.
276,Alexander Pearson,150,M,East Thomastown,Palestinian Territory,5588715623073360,"190 Stacy Groves Apt. 676, South Kristin, TX 02169",2022-12-13,2023-08-03,Active,13,High Value,West Laurastad,Organic Search,2023-08-23,Monthly,TastySnacks,Grocery,Snacks,-41,2023-01-21,8,0,Able book look strategy such.
809,Catherine Ferguson,150,F,Rollinshaven,North Macedonia,5337461474076897,"28113 Swanson View Apt. 226, Sandrahaven, UT 67020",2022-09-12,2023-06-02,Active,11,High Value,East Alexisberg,Paid Ads,2023-08-05,Yearly,ChairDeluxe,Furniture,Chair,600,2021-05-01,9,2,Million information friend approach experience when.
339,Scott Patterson,-3,M,East Travisshire,Solomon Islands,2330491579988997,"19062 Nicole Plaza, Charlesport, WI 02353",2022-10-16,2023-07-13,Active,12,High Value,Port Hannah,Referral,2023-08-03,Yearly,ComfortChair,Furniture,Chair,585,2021-03-14,-5,0,Task land these prove structure group push law.
1146,Anthony Curry,150,M,Harperview,United States Virgin Islands,2253410161401170,"3109 Guzman Street Apt. 906, Martinezland, PW 74840",2023-03-16,2023-05-23,Churned,3,Occasional Shopper,Gainesbury,Organic Search,2023-08-03,Yearly,ShirtFits,Clothing,Shirt,-47,2021-04-19,-1,2,Individual by send artist trip ask meet radio.
1489,Natasha Blackwell,5,M,Lake Johnathantown,Grenada,5178282888072468,"77542 Amber Islands, North Anthony, CA 16825",2022-04-16,2023-04-12,Churned,9,Frequent Shopper,Gabrielland,Referral,2023-08-21,Yearly,FreshBeverages,Grocery,Beverages,-57,2022-11-08,3,6,Purpose wrong civil event thank should institution fill.
1325,Robert Bullock,99,M,West Philip,Uganda,2280165841253063,"97934 Patel Loop, Ashleytown, ME 91760",2023-06-15,2023-07-24,Active,9,Frequent Shopper,Port Hannah,Organic Search,2023-08-06,Yearly,SpeakerPro,Electronics,Speaker,-56,2022-08-31,-3,2,Site young risk since under safe total whole.
185,Kimberly Collins,-5,F,South Jessicaville,Costa Rica,2451227060875456,"30526 Tucker Ports Suite 986, South Edward, WI 57185",2022-12-05,2023-05-14,Churned,6,Frequent Shopper,Kurtburgh,Paid Ads,2023-06-21,Yearly,UltraPhone,Electronics,Phone,-90,2020-12-30,1,-1,Huge analysis change computer later enter enjoy lot.
798,William Wang,4,F,Rachelland,Germany,2276635108337755,"USCGC Ray, FPO AP 49907",2023-07-16,2023-08-18,Active,13,High Value,East Sharonhaven,Referral,2023-08-20,Monthly,FreshVegetables,Grocery,Vegetables,-47,2021-10-22,6,1,Seven cover data away best both media.
1083,Julie Khan,-4,F,Bonniefurt,Reunion,2717782087543123,"111 Martinez Land Suite 015, West Steven, TX 91427",2021-11-11,2022-06-14,Churned,10,Frequent Shopper,Lake Marktown,Referral,2022-08-31,Rarely,The Art of Fiction,Books,Fiction,292,2021-08-21,-5,4,Station compare eye.
744,Barry Garza,13,F,Gatesberg,Portugal,2720844976974747,"894 Erin Lakes, Johnnystad, SC 37726",2022-02-28,2022-03-31,Churned,8,Frequent Shopper,West Terry,Paid Ads,2023-07-26,Rarely,Non-fictionTales,Books,Non-fiction,-31,2021-09-02,-2,0,Evening meet scene turn close deal part.
927,Douglas Garcia,5,M,Lake Lisaside,Uganda,5584145469540385,"3299 Susan Field, Adammouth, NC 65258",2023-07-06,2023-07-06,Active,3,Occasional Shopper,Ramseyburgh,Referral,2023-07-28,Yearly,SpeakerPro,Electronics,Speaker,174,2023-05-10,1,0,Push final security.
1138,Stacy Rivers,150,F,South Nicholas,San Marino,2711048408878531,"932 April Greens Apt. 971, East Amyton, NY 36280",2022-02-08,2022-05-05,Churned,2,Occasional Shopper,Freemanmouth,Paid Ads,2022-05-28,Rarely,ProShirt,Clothing,Shirt,737,2023-06-27,2,6,Upon evidence despite.
994,David Ellison,3,M,Woodland,Grenada,2277973550467310,"099 Brown Harbors Suite 425, Josephhaven, OK 85883",2021-11-09,2022-03-15,Churned,12,High Value,Allisontown,Referral,2022-03-25,Rarely,FreshSnacks,Grocery,Snacks,-65,2020-12-05,-1,6,Indicate out fire spend best bit develop.
